Name,Title,Pronouns,Job,Affiliation,ShortBio,Website,Twitter,Github
Sin Kim,Mr,He/Him,PhD Student,"Korea Advanced Institute of Science and Technology, Daejeon, Korea",Computer science major learning neuroimaging data analysis to study adolescent development and psychiatry.,,,AKSoo
Rohit Goswami,,He/Him,Doctoral Researcher,"Faculty of Physical Sciences, University of Iceland",I have a formal background in chemical engineering. I worked on HPC algorithms and optics for a while and I have over ten years of FOSS development experience. Currently I'm working on research problems at the intersection of quantum chemistry and machine learning.,https://rgoswami.me,rg0swami,HaoZeke
Vittorio Iacovella,,He/him,Open Data technician,"CIMeC - Center for Mind / Brain Sciences, The University of Trento (Italy)",My background is in Physics and Cognitive Neuroscience. During my PhD I studied resting state and Brain / body interactions using FMRI. I am currently working as open data technician and open science advocate.,https://viacovella.github.io/,V_Iacovella,viacovella
Marta Topor,,She/her,PhD Candidate,University of Surrey,"Marta Topor is a second-year psychology PhD student at the University of Surrey. She studies performance control processes in developmental motor disorders using EEG. She is the president and founder of the Surrey Reproducibility Society. Alongside her PhD work, she collaborates on many projects regarding open research with the focus on the development of training and educational materials and the improvement of research methods and workflow.",,MartaTopor,m-topor
Matteo Frigo,,,PhD Student,"Inria Sophia Antipolis - Méditerranée, Nice, France","I’m a PhD student in Computational Brain Connectivity Mapping under the supervision of Rachid Deriche and Samuel Deslauriers-Gauthier in the Athena team at Inria Sophia-Antipolis Mediterranée. My job is to develop open methods for human brain structural connectivity estimation. Talk to me about math, brains and pizza.",https://matteofrigo.github.io/,,matteofrigo
Tom Kirk,,,PhD student,"Institute of Biomedical Engineering, University of Oxford","I am nearing completition of my PhD, researching new analysis methods to improve the repeatability and accuracy of perfusion measurement using arterial spin labelling (ASL). I have also been working on a library to take the hassle out of image registration, please check it out: https://github.com/tomfrankkirk/regtricks",,,tomfrankkirk
Tulika Nandi,Dr.,She/her,Postdoctoral researcher,"University of Oxford, Oxford, UK",I have a background in physiotherapy and my research focuses on non-invasive brain stimulation (NIBS) in the context of movement control. I am currently studying individual variability in responses to NIBS and working on developing a novel ultrasound neuromodulation technique.,https://www.ndcn.ox.ac.uk/team/tulika-nandi,TulikaNan,
Jon Haitz Legarreta Gorroño,,He/him,PhD student,"Université de Shebrooke, Sherbrooke QC Canada","I am PhD student working with diffusion MRI data. I am a long-time contributor to open source projects such as ITK, VTK and DIPY.",,,jhlegarreta
Tibor Auer,Dr,He/him,Research Fellow,"School of Psychology, University of Surrey, Guildford, United Kingdom","I received my undergraduate degree in medicine (MD) and my PhD in clinical neuroscience from the University of Pécs, Hungary, where I implemented various neuroimaging techniques in a clinical environment. My first post-doc project at the Biomedizinische NMR Forschungs GmbH in Max-Planck Institute for Biophysical Chemistry in Göttingen focused on real-time fMRI-based neurofeedback with special emphasis on the implementation and the optimization of the experimental setup and the analysis. My main current project is on optimising neuromodulation approaches, such as tACS based on real-time neural signals, and I also collaborate in other real-time fMRI and neurofeedback projects. I also work on how to improve the temporal resolution and reliability of fMRI-based neurofeedback, and co-develop OpenNFT, a Python/Matlab framework for real-time fMRI neurofeedback and automatic analysis, a Matlab framework to process multimodal neuroimaging analysis pipelines. I am also a strong supporter of transparency and replicability of neuroimaging approaches, and I am involved in international initiatives such as the Brain Imaging Data Structure and Neuroimaging Data Model providing a standard of organising neuroimaging data.""",https://www.surrey.ac.uk/people/tibor-auer,TiborAuer,tiborauer
Alexandra Lautarescu,Miss,She/her,PhD student,"Centre for the Developing Brain, King's College London","I am a 3 year PhD student using data from fetal and neonatal MRI to understand the relationship between maternal mental health and early brain development. I am passionate about making science more open, accessible and reproducible.",https://alautarescu.com,AleLautarescu,AleLautarescu
Frantisek Vasa,,He/Him,Research Associate,King’s College London,"Following methodological work on human structural and functional brain networks, I now work on methods for adaptive MRI imaging, with the aim of using rapid analysis of MRI data while the participant is in the scanner to inform subsequent image acquisition steps.",,frantisekvasa,frantisekvasa
Irene Dupong,Ms,She/her,Physician,University of Paris,I’m a child psychiatrist beginning a PhD in November 2020 on brain imaging and autism. I’m interested in how the brain makes abstractions.,,IreneDupong,
Cooper Smout,Dr,He/Him,Researcher,Institute for Globally Distributed Open Research and Education,"My PhD focused on the neural mechanisms of attention and prediction in visual awareness, using computational modelling and multivariate analyses of human brain imaging data (EEG and MEG) to investigate how predictions bias attention and visual awareness. I'm also passionate about using the principles of Open Science to create a fair and efficient system of scholarly communication. To help achieve this, I founded Project Free Our Knowledge.",https://www.freeourknowledge.org,coopsmout,FreeOurKnowledge
